ประทับเวลา,"How often do you ride a bike in Taipei?
(您在台北多常騎腳踏車？)","  What is the main reason you ride a bicycle?
(您騎自行車的主要原因是什麼？ )  ","  What kind of bicycle do you usually use?
(您通常使用什麼類型的自行車？)","  What time of day do you usually ride a bicycle?
(您通常在一天中的什麼時間騎自行車？)","Which places or routes do you often use when riding your bicycle?
(您常常騎自行車時會經過哪些地方或路線？)","Have you ever been involved in a bike accident in Taipei?
(您曾經在台北發生過自行車事故嗎？)","If yes, how many times has it happened in the past year?
(如果是的話，在過去一年中發生過幾次？)","If yes, where did the accident happen?
(如果是，事故發生在哪裡？)","What was the cause of the accident?
(事故發生的原因是什麼？)","Did you report the accident to the authorities?
(您有向有關部門報告事故嗎？)","Did you get hurt in the accident?
(您在事故中受傷了嗎？)","On a scale from 1 to 5, how safe do you feel while cycling in Taipei?
(在 1 到 5 的範圍內，您覺得在台北騎自行車有多安全？)","What are your biggest concerns when cycling in Taipei?
(在台北騎自行車時，您最大的顧慮是什麼？)","Which places in Taipei do you think are the most dangerous for people riding bicycles?
(您認為台北哪些地方對騎自行車的人來說最危險？
)","Do you know about any bike-friendly routes or safe paths in Taipei?
(您知道台北有哪些對自行車友善的路線或安全的路徑嗎？)","What changes do you think would make cycling safer in Taipei?
(您認為哪些改變能使在台北騎自行車更安全？)","If there were a navigation app that suggests the safest bike routes using accident data, would you use it or not?
(如果有一個導航應用程式，可以利用事故數據建議最安全的自行車路線，您會使用嗎？)","What features would you like to have in a bike safety navigation app?
(您希望自行車安全導航應用程式具備哪些功能？)",Where are you from?(你來自哪裡？),What gender are you?( 你的性別),How old are you?(你幾歲了？)
"5/4/2025, 14:35:55",Weekly(每週),Commuting(通勤),YouBike,Morning rush hour(早高峰),NTU / NTUT / Nangang,No(沒有),Never(從未發生),-,never,No(沒有),No injury(沒有受傷),4,Poor road conditions(道路狀況不佳),Nangang,No(不知道),Better road maintenance(更好的道路維護),Yes(會),Route recommendations(路線建議),International(國際),Female(女性),18-24
"5/4/2025, 14:39:02",Monthly(每月),Commuting(通勤),YouBike,Afternoon(下午),大安區,No(沒有),Never(從未發生),No,No,No(沒有),No injury(沒有受傷),4,Reckless drivers(魯莽的駕駛),No idea,No(不知道),More traffic signs for cyclists(更多自行車騎士交通標誌),Maybe(也許),Route recommendations(路線建議),International(國際),Female(女性),25-34
"5/4/2025, 14:39:46",Daily(每日),Commuting(通勤),YouBike,Random times,Go to work,Maybe(也許),2-3 times(2-3次),Taipei,Pedestrians(行人),No(沒有),No injury(沒有受傷),3,Reckless drivers(魯莽的駕駛),I dont know,Yes(知道),Stricter traffic laws(更嚴格的交通法規),Yes(會),Route recommendations(路線建議),Taipei(台北),Male(男性),25-34
"5/4/2025, 14:41:18",Weekly(每週),Commuting(通勤),YouBike,Night(夜間),From my house to school,No(沒有),Never(從未發生),No,Bad road conditions(糟糕的路況),No(沒有),No injury(沒有受傷),5,Not enough bike lanes(自行車道不足),City center,No(不知道),More bike lanes(更多自行車道),Yes(會),Real-time hazard alerts(即時危險警報),Taipei(台北),Female(女性),18-24
"5/4/2025, 14:42:10",Weekly(每週),Commuting(通勤),YouBike,Morning rush hour(早高峰),Train station,No(沒有),Never(從未發生),No,沒有,No(沒有),No injury(沒有受傷),5,Not enough bike lanes(自行車道不足),No concern,Yes(知道),Better road maintenance(更好的道路維護),Yes(會),Route recommendations(路線建議),International(國際),Female(女性),25-34
"5/4/2025, 14:43:53",Daily(每日),Commuting(通勤),YouBike,Evening rush hour(晚高峰),"on the way back to mydorm, and around NTUT",Maybe(也許),1 time(1次),around taipei main station,some area doesn't has bike lane so i need to ride on the road,No(沒有),Minor injury(輕傷),3,Not enough bike lanes(自行車道不足),the area that doesn't has bike lane,No(不知道),More bike lanes(更多自行車道),Yes(會),Route recommendations(路線建議),International(國際),Female(女性),25-34
"5/4/2025, 14:51:33",Rarely(很少),去展覽,YouBike,Morning rush hour(早高峰),信義路,No(沒有),Never(從未發生),無,無,No(沒有),No injury(沒有受傷),1,Not enough bike lanes(自行車道不足),Everywhere,No(不知道),More bike lanes(更多自行車道),Maybe(也許),Route recommendations(路線建議),Other Taiwanese City(台灣其他城市),Other(其他),25-34
"5/4/2025, 14:51:53",Rarely(很少),For fun(娛樂),YouBike,Afternoon(下午),Riversides,No(沒有),Never(從未發生),never,Your own mistake(自己的錯誤),No(沒有),No injury(沒有受傷),5,Traffic congestion(交通擁擠),when there is no bike lane and we have ride through the main road,Yes(知道),More bike lanes(更多自行車道),Yes(會),Route recommendations(路線建議),International(國際),Female(女性),18-24
"5/4/2025, 14:54:13",Weekly(每週),Commuting(通勤),YouBike,Afternoon(下午),Gongguan-NTUT,No(沒有),Never(從未發生),-,-,No(沒有),No injury(沒有受傷),3,Traffic congestion(交通擁擠),"Taipei main station, ximen",Yes(知道),More traffic signs for cyclists(更多自行車騎士交通標誌),Maybe(也許),Real-time hazard alerts(即時危險警報),International(國際),Female(女性),18-24
"5/4/2025, 14:56:32",Weekly(每週),Commuting(通勤),YouBike,Afternoon(下午),"The bike lanes, the road",Yes(有),1 time(1次),On the roadside,Your own mistake(自己的錯誤),No(沒有),Minor injury(輕傷),4,Not enough bike lanes(自行車道不足),Normally when you meet big main road or more than 2 lanes road,No(不知道),More bike lanes(更多自行車道),Yes(會),Route recommendations(路線建議),International(國際),Male(男性),25-34
